Requirement name,Unit total,Unit limit,[AP Credits]
Writing,8,0,N/A
Ethics and Society,8,0,N/A
Formal Skills,8,8,AP Calculus AB,AP Calculus BC,AP Computer Science A,AP Computer Science Principles,AP Statistics
PofC,48,24,AP 2-D Art and Design,AP 3-D Art and Design,AP Art History,AP Drawing,AP Music Theory AP Biology,AP Chemistry,AP Physics 1: Algebra-Based,AP Physics 2: Algebra-Based,AP Physics C: Electricity and Magnetism,AP Physics C: Mechanics,AP Computer Science A,AP Macroeconomics,AP Microeconomics,AP Environmental Science,AP Comparative Government and Politics,AP United States Government and Politics,AP European History,AP World History: Modern,AP United States History,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture,AP Latin,AP Music Theory,AP Psychology
AS,24,8,AP 2-D Art and Design,AP 3-D Art and Design,AP Art History,AP Drawing,AP Music Theory,AP Macroeconomics,AP Microeconomics,AP Comparative Government and Politics,AP United States Government and Politics,AP European History,AP World History: Modern,AP United States History,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture,AP Latin,AP Music Theory,AP Psychology
