Sub-requirement name,Parent Requirement Name,Unit total,Unit limit,[AP Credits]
Economics,Social Sciences,12,8,AP Macroeconomics,AP Microeconomics
Political Science,Social Sciences,12,8,AP Comparative Government and Politics,AP United States Government and Politics
Psychology,Social Sciences,12,4,AP Psychology
Biology,Math or Natural Sciences,12,4,AP Biology
Chemistry,Math or Natural Sciences,12,12,AP Chemistry
Mathematics,Math or Natural Sciences,12,8,AP Calculus AB,AP Calculus BC
Algebra Physics,Math or Natural Sciences,12,4,AP Physics 1: Algebra-Based,AP Physics 2: Algebra-Based
Calculus Physics,Math or Natural Sciences,12,8,AP Physics C: Mechanics,AP Physics C: Electricity and Magnetism
Foreign Language,Foreign Language,12,12,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture,AP Latin
