Requirement name,Unit total,Unit limit,[AP Credits]
Writing,8,0,N/A
Social Sciences,12,12,AP Macroeconomics,AP Microeconomics,AP Comparative Government and Politics,AP United States Government and Politics,AP Psychology
Math or Natural Sciences,12,12,AP Biology,AP Chemistry,AP Calculus AB,AP Calculus BC,AP Physics 1: Algebra-Based,AP Physics 2: Algebra-Based,AP Physics C: Electricity and Magnetism,AP Physics C: Mechanics
Fine Arts,12,12,N/A
Foreign Language,12,12,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture,AP Latin
Humanities,12,12,N/A
