Sub-requirement name,Program of Concentration or Area Study,Category,Unit total,Unit limit,[AP Credits]
Visual Arts,PofC,Humanities and Fine Arts,24,12,AP Drawing,AP 2-D Art and Design,AP 3-D Art and Design,AP Art History
Music,PofC,Humanities and Fine Arts,24,12,AP Music Theory
Literature,PofC,Humanities and Fine Arts,24,12,AP English Language and Composition,AP English Literature and Composition,AP Latin,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture
History,PofC,Humanities and Fine Arts,24,12,AP United States History,AP European History,AP World History: Modern
Foreign Language and Culture,PofC,Humanities and Fine Arts,24,12,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture
Political Science,PofC,Social Sciences,24,12,AP Comparative Government and Politics,AP United States Government and Politics
Psychology,PofC,Social Sciences,24,12,AP Psychology
Economics,PofC,Social Sciences,24,12,AP Macroeconomics,AP Microeconomics
Mathematics,PofC,Math and Natural Sciences and Engineering,24,12,AP Calculus AB,AP Calculus BC
Biology,PofC,Math and Natural Sciences and Engineering,24,12,AP Biology
Chemistry,PofC,Math and Natural Sciences and Engineering,24,12,AP Chemistry
Science and Technology,PofC,Math and Natural Sciences and Engineering,24,24,AP Environmental Science,AP Physics 1: Algebra-Based,AP Physics 2: Algebra-Based,AP Physics C: Electricity and Magnetism,AP Physics C: Mechanics,AP Biology,AP Chemistry
