Requirement name,Unit total,Unit limit,[AP Credits]
Dimensions of Culture,16,0,N/A
Natural Science,12,12,AP Biology,AP Chemistry,AP Physics 1: Algebra-Based,AP Physics 2: Algebra-Based,AP Physics C: Electricity and Magnetism,AP Physics C: Mechanics
Mathematics and Statistics and Logic,8,8,AP Calculus AB,AP Calculus BC,AP Computer Science A
Humanities and Culture,8,8,N/A
Fine Arts,4,4,AP Art History
Disciplinary Breadth,16,8,AP 2-D Art and Design,AP 3-D Art and Design,AP Drawing,AP Environmental Science,AP Comparative Government and Politics, AP United States Government and Politics,AP United States History,AP European History,AP World History: Modern,AP Chinese Language and Culture,AP French Language and Culture,AP German Language and Culture,AP Italian Language and Culture,AP Japanese Language and Culture,AP Spanish Language and Culture,AP Spanish Literature and Culture,AP Latin,AP Music Theory,AP Macroeconomics,AP Microeconomics
